Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
3/16/2004,20:00:00,3.2,1474,230,15.8,1173,166,854,143,1776,1432,20.4,36.7,0.8704
3/16/2004,21:00:00,5.1,1800,349,24.9,1426,317,700,177,2106,2034,19.0,41.3,0.9007
3/16/2004,22:00:00,2.6,1379,183,13.5,1101,184,818,138,1710,1602,17.9,45.9,0.9342
3/16/2004,23:00:00,1.7,1201,88,9.1,943,130,935,117,1560,1362,16.7,48.9,0.9226
3/17/2004,0:00:00,1.7,1205,85,8.6,925,132,922,107,1547,1314,15.5,52.9,0.9271
3/17/2004,1:00:00,1.2,1072,47,5.4,784,95,1066,90,1442,1114,15.5,51.9,0.9059
3/17/2004,2:00:00,0.9,998,34,4.1,714,70,1169,79,1383,992,14.1,55.6,0.8910
3/17/2004,3:00:00,0.7,933,26,2.6,625,-200,1292,-200,1332,884,13.1,57.9,0.8666
3/17/2004,4:00:00,-200,883,17,1.9,577,54,1396,60,1303,808,12.7,57.9,0.8447
3/17/2004,5:00:00,0.5,869,11,1.6,554,28,1460,40,1268,667,11.8,58.0,0.8026
3/17/2004,6:00:00,0.5,891,18,1.9,576,46,1417,53,1289,733,11.9,57.4,0.7978
3/17/2004,7:00:00,1.6,1173,84,7.5,878,160,1038,84,1556,1052,9.9,65.2,0.7956
3/17/2004,8:00:00,4.1,1587,260,21.4,1334,320,702,108,1999,1534,11.1,60.2,0.7958
3/17/2004,9:00:00,6.6,1852,534,36.4,1696,377,553,127,2535,1931,14.1,50.0,0.8020
3/17/2004,10:00:00,4.3,1522,368,21.3,1331,280,703,134,2026,1734,17.7,40.1,0.8048
3/17/2004,11:00:00,2.9,1438,200,15.4,1161,221,819,135,1782,1595,21.1,33.4,0.8265
3/17/2004,12:00:00,2.5,1393,145,12.5,1067,210,905,142,1654,1490,24.3,28.3,0.8471
3/17/2004,13:00:00,2.8,1452,188,15.1,1152,204,861,153,1747,1508,25.6,25.6,0.8254
3/17/2004,14:00:00,2.6,1389,152,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.8503
3/17/2004,15:00:00,2,1207,103,10.4,994,135,1013,104,1520,1045,26.8,18.7,0.6500
3/17/2004,16:00:00,2.9,1365,193,15.2,1154,186,940,129,1679,1221,29.3,15.8,0.6309
3/17/2004,17:00:00,2.5,1247,134,12.3,1060,147,1032,114,1525,1069,28.5,14.9,0.5708
3/17/2004,18:00:00,5,1557,386,27.0,1478,299,793,158,1981,1569,25.9,16.0,0.5237
3/17/2004,19:00:00,7.6,1973,577,38.4,1737,411,617,194,2414,2306,23.1,26.5,0.7403
3/17/2004,20:00:00,6.7,1975,523,35.1,1667,347,597,182,2416,2359,20.5,38.2,0.9133
3/17/2004,21:00:00,5.7,1795,472,27.2,1485,336,653,180,2174,2050,19.1,42.6,0.9294
3/17/2004,22:00:00,2.8,1444,206,15.0,1150,202,770,136,1727,1727,17.2,44.1,0.8558
3/17/2004,23:00:00,2.6,1488,216,15.7,1171,178,731,127,1778,1705,16.0,50.9,0.9206
3/18/2004,0:00:00,2.3,1371,159,13.0,1083,154,796,116,1669,1551,14.8,53.9,0.9024
3/18/2004,1:00:00,1.4,1161,70,8.1,904,92,947,107,1502,1240,14.3,55.4,0.8975
3/18/2004,2:00:00,1,1064,44,5.5,787,61,1057,88,1407,1115,14.8,52.1,0.8686
3/18/2004,3:00:00,0.7,970,42,3.6,687,-200,1196,-200,1351,969,13.9,53.9,0.8501
3/18/2004,4:00:00,-200,954,28,2.9,645,60,1260,78,1334,925,11.6,61.9,0.8442
3/18/2004,5:00:00,0.6,931,20,2.5,623,37,1293,57,1307,828,12.0,58.9,0.8233
3/18/2004,6:00:00,0.7,938,26,3.0,650,68,1251,71,1333,893,10.9,62.1,0.8113
3/18/2004,7:00:00,1.5,1166,78,7.7,885,139,1005,85,1551,1075,10.6,63.3,0.8067
3/18/2004,8:00:00,4.7,1643,319,23.3,1384,339,667,124,2094,1610,11.5,60.0,0.8117
3/18/2004,9:00:00,6.6,1934,506,35.8,1682,421,541,151,2468,2051,14.3,50.6,0.8186
3/18/2004,10:00:00,4.5,1617,-200,21.3,1333,349,686,150,2010,1819,17.8,40.5,0.8210
3/18/2004,11:00:00,2.8,1473,-200,14.3,1127,224,831,152,1752,1568,20.8,34.4,0.8365
3/18/2004,12:00:00,2.2,1379,-200,12.5,1068,171,899,139,1663,1374,23.8,28.2,0.8219
3/18/2004,13:00:00,2.2,1385,-200,12.2,1056,149,891,133,1648,1268,24.2,28.7,0.8515
3/18/2004,14:00:00,2.3,1379,-200,13.1,1087,137,901,126,1660,1144,25.2,24.9,0.7829
3/18/2004,15:00:00,2.2,1322,-200,14.4,1129,149,934,128,1639,1109,27.0,17.8,0.6275
3/18/2004,16:00:00,2.8,1496,-200,16.8,1205,172,822,169,1767,1347,27.1,23.1,0.8180
3/18/2004,17:00:00,2.7,1409,-200,14.5,1131,166,873,149,1689,1206,25.8,23.9,0.7832
3/18/2004,18:00:00,3.7,1513,-200,21.5,1338,214,764,156,1957,1397,23.0,26.8,0.7446
3/18/2004,19:00:00,5.1,1667,-200,26.4,1464,280,683,168,2118,1588,20.7,31.1,0.7523
3/18/2004,20:00:00,5.1,1667,-200,26.0,1453,276,684,176,2051,1569,18.6,36.2,0.7676
3/18/2004,21:00:00,3.2,1430,-200,14.1,1121,178,814,135,1732,1322,16.0,48.4,0.8768
3/18/2004,22:00:00,2.1,1333,-200,10.3,989,129,885,121,1621,1194,14.5,57.8,0.9456
3/18/2004,23:00:00,1.7,1262,-200,8.3,911,95,948,99,1545,1062,13.1,64.2,0.9606
3/19/2004,0:00:00,2,1287,-200,8.9,936,126,918,106,1606,1040,12.0,69.7,0.9735
3/19/2004,1:00:00,1.6,1134,-200,6.6,840,103,1021,96,1501,917,11.9,71.1,0.9915
3/19/2004,2:00:00,0.9,999,-200,3.6,688,48,1229,63,1380,594,12.5,69.3,1.0029
3/19/2004,3:00:00,0.7,961,-200,2.5,622,-200,1382,-200,1301,430,12.5,67.5,0.9768
3/19/2004,4:00:00,-200,934,-200,1.8,569,20,1440,32,1280,397,12.3,67.7,0.9665
3/19/2004,5:00:00,0.5,913,-200,1.3,525,18,1620,28,1260,370,12.5,66.8,0.9620
3/19/2004,6:00:00,0.7,969,-200,2.3,607,56,1373,61,1324,438,12.3,66.3,0.9487
3/19/2004,7:00:00,1.5,1182,-200,6.7,845,115,1054,99,1539,704,12.4,64.9,0.9332
3/19/2004,8:00:00,4.8,1740,-200,22.8,1372,320,671,157,2144,1476,13.0,61.6,0.9209
3/19/2004,9:00:00,6.2,1819,-200,31.3,1582,357,575,166,2456,1716,13.6,58.8,0.9120
3/19/2004,10:00:00,4,1427,-200,19.2,1275,253,701,149,1980,1398,13.9,57.1,0.9032
3/19/2004,11:00:00,3.3,1390,-200,16.4,1191,218,759,135,1879,1268,14.5,54.4,0.8917
3/19/2004,12:00:00,2.8,1283,-200,14.0,1117,192,813,127,1751,1188,15.5,50.1,0.8744
3/19/2004,13:00:00,3,1304,-200,15.3,1157,176,793,122,1801,1171,16.1,47.6,0.8655
3/19/2004,14:00:00,3.3,1364,-200,16.7,1202,198,771,135,1875,1250,16.3,47.1,0.8640
3/19/2004,15:00:00,3.5,1410,-200,19.0,1268,212,724,139,1957,1344,16.4,47.5,0.8791
3/19/2004,16:00:00,4,1476,-200,19.4,1280,249,708,147,1955,1378,16.1,50.2,0.9094
3/19/2004,17:00:00,4.6,1522,-200,20.9,1320,270,690,158,2005,1435,16.0,50.7,0.9142
3/19/2004,18:00:00,4.1,1442,-200,20.2,1301,231,704,146,1952,1372,15.8,50.3,0.8989
3/19/2004,19:00:00,4.5,1469,-200,21.7,1344,251,677,144,1997,1471,15.5,50.6,0.8840
3/19/2004,20:00:00,3.9,1467,-200,19.8,1292,210,698,138,1942,1439,15.4,51.4,0.8956
3/19/2004,21:00:00,4,1421,-200,16.7,1202,249,748,143,1854,1429,15.2,53.1,0.9117
3/19/2004,22:00:00,2.2,1175,-200,9.1,945,143,904,116,1604,1081,14.7,57.6,0.9573
3/19/2004,23:00:00,2.1,1215,-200,8.3,912,127,948,109,1547,993,14.2,58.3,0.9380
3/20/2004,0:00:00,1.7,1127,-200,5.8,802,104,1064,92,1447,837,13.8,57.9,0.9085
3/20/2004,1:00:00,1.6,1090,-200,5.2,773,86,1105,83,1429,761,13.9,55.9,0.8842
3/20/2004,2:00:00,1.3,1017,-200,4.1,718,74,1182,81,1382,650,13.9,55.6,0.8765
3/20/2004,3:00:00,1.3,997,-200,3.4,677,-200,1252,-200,1359,591,13.8,55.1,0.8666
3/20/2004,4:00:00,-200,945,-200,2.9,646,44,1308,55,1332,505,13.8,54.6,0.8574
3/20/2004,5:00:00,0.8,956,-200,3.1,661,42,1260,53,1351,518,13.6,55.1,0.8560
3/20/2004,6:00:00,0.8,966,-200,2.5,622,63,1317,67,1342,571,13.6,59.0,0.9129
3/20/2004,7:00:00,1.1,1064,-200,4.3,728,115,1161,91,1461,842,13.5,58.4,0.8960
3/20/2004,8:00:00,2.1,1300,-200,8.9,935,170,902,113,1623,1145,13.8,58.0,0.9083
3/20/2004,9:00:00,2.4,1348,-200,10.5,998,147,834,102,1689,1218,14.6,53.1,0.8765
3/20/2004,10:00:00,2.6,1425,-200,12.5,1068,166,776,107,1764,1341,15.0,52.3,0.8881
3/20/2004,11:00:00,2.8,1474,-200,12.3,1061,195,768,113,1768,1406,15.4,52.1,0.9046
3/20/2004,12:00:00,2.6,1490,-200,11.7,1039,182,782,108,1757,1422,16.3,50.0,0.9158
3/20/2004,13:00:00,2.6,1495,-200,11.7,1040,168,809,105,1735,1373,17.1,47.9,0.9281
3/20/2004,14:00:00,2.1,1376,-200,9.3,953,125,900,93,1636,1153,19.0,42.9,0.9370
3/20/2004,15:00:00,1.7,1305,-200,7.6,884,95,980,87,1573,927,19.5,42.3,0.9476
3/20/2004,16:00:00,1.6,1283,-200,6.7,844,79,1036,76,1539,766,19.5,42.3,0.9493
3/20/2004,17:00:00,2.1,1392,-200,9.7,967,119,930,94,1649,941,19.1,43.8,0.9556
3/20/2004,18:00:00,2.3,1452,-200,12.4,1063,142,856,110,1774,1146,18.5,46.3,0.9744
3/20/2004,19:00:00,3.5,1633,-200,16.6,1199,215,734,136,1919,1417,17.4,51.6,1.0159
3/20/2004,20:00:00,3.9,1625,-200,16.4,1191,229,733,139,1885,1442,17.1,51.3,0.9914
3/20/2004,21:00:00,3.3,1535,-200,13.7,1108,206,785,125,1820,1323,16.4,53.8,0.9964
3/20/2004,22:00:00,2.3,1323,-200,9.9,973,147,864,111,1712,1125,16.2,55.4,1.0132
3/20/2004,23:00:00,2.1,1309,-200,8.9,937,122,905,97,1672,1036,15.9,57.7,1.0356
3/21/2004,0:00:00,2.8,1456,-200,10.6,999,175,835,107,1714,1202,15.7,58.6,1.0396
3/21/2004,1:00:00,2.1,1300,-200,7.4,872,133,941,90,1577,1054,15.1,60.9,1.0398
3/21/2004,2:00:00,1.6,1203,-200,6.2,823,89,1004,84,1526,903,15.6,56.6,0.9951
3/21/2004,3:00:00,1.6,1195,-200,6.5,836,-200,987,-200,1554,885,15.2,57.9,0.9941
3/21/2004,4:00:00,-200,1117,-200,5.8,802,85,1029,87,1539,818,15.4,57.8,1.0021
3/21/2004,5:00:00,1.1,1062,-200,4.0,711,55,1136,66,1461,700,14.9,60.6,1.0196
3/21/2004,6:00:00,0.7,947,-200,2.1,594,24,1300,36,1390,580,14.5,63.0,1.0316
3/21/2004,7:00:00,0.8,1065,-200,3.6,687,72,1143,62,1492,815,14.2,66.2,1.0630
3/21/2004,8:00:00,1.2,1155,-200,4.4,734,122,1062,91,1528,1035,14.5,65.3,1.0704
3/21/2004,9:00:00,1.4,1220,-200,5.4,782,111,996,89,1560,1067,15.3,62.1,1.0730
3/21/2004,10:00:00,1.7,1301,-200,7.1,862,123,914,93,1633,1114,16.3,59.0,1.0868
3/21/2004,11:00:00,1.8,1279,-200,7.3,870,106,911,81,1646,1000,18.9,49.6,1.0700
3/21/2004,12:00:00,1.8,1267,-200,7.6,883,103,953,82,1617,906,19.4,46.1,1.0249
3/21/2004,13:00:00,1.9,1239,-200,6.8,848,102,981,80,1568,822,20.8,41.6,1.0091
3/21/2004,14:00:00,1.3,1128,-200,4.6,742,48,1144,48,1507,610,21.4,40.3,1.0126
3/21/2004,15:00:00,1.6,1243,-200,8.4,916,63,962,61,1669,657,21.2,39.3,0.9791
3/21/2004,16:00:00,1.9,1208,-200,6.9,853,98,1060,89,1506,647,20.3,38.0,0.8942
3/21/2004,17:00:00,2.3,1306,-200,9.0,938,132,961,105,1607,762,19.4,41.3,0.9206
3/21/2004,18:00:00,3.8,1546,-200,15.1,1151,173,769,116,1874,1122,18.5,43.8,0.9252
3/21/2004,19:00:00,3.5,1501,-200,12.6,1071,185,823,119,1744,1130,17.8,48.1,0.9689
3/21/2004,20:00:00,4.3,1605,-200,15.1,1153,266,769,144,1840,1637,17.9,46.9,0.9520
3/21/2004,21:00:00,2.8,1316,-200,9.9,974,188,883,123,1673,1272,17.4,49.1,0.9688
3/21/2004,22:00:00,1.9,1195,-200,8.0,898,122,933,105,1594,1098,17.0,51.7,0.9914
3/21/2004,23:00:00,1.9,1211,-200,7.9,896,112,920,93,1624,1066,16.4,55.1,1.0198
3/22/2004,0:00:00,1.7,1161,-200,6.1,815,93,995,86,1582,909,16.1,60.0,1.0919
3/22/2004,1:00:00,1.5,1095,-200,5.1,767,74,1050,76,1547,818,15.8,60.5,1.0805
3/22/2004,2:00:00,0.6,897,-200,1.7,563,23,1417,33,1355,472,16.3,57.0,1.0491
3/22/2004,3:00:00,0.4,842,-200,0.7,468,-200,1813,-200,1274,394,16.9,53.9,1.0309
3/22/2004,4:00:00,-200,854,-200,0.8,481,17,1756,27,1304,396,16.1,55.9,1.0153
3/22/2004,5:00:00,0.3,845,-200,0.7,472,15,1786,23,1278,378,16.5,53.9,1.0049
3/22/2004,6:00:00,0.6,942,-200,2.0,586,41,1480,46,1373,432,16.4,54.0,0.9979
3/22/2004,7:00:00,1.2,1090,-200,5.1,768,86,1072,76,1538,699,15.7,57.6,1.0195
3/22/2004,8:00:00,3.6,1514,-200,17.7,1230,226,732,116,1996,1252,15.8,53.7,0.9571
3/24/2005,21:00:00,5.0,1667,-200,24.2,1410,691,383,201,1818,1948,18.2,52.2,1.0795
3/24/2005,22:00:00,4.0,1549,-200,17.8,1233,590,424,175,1648,1804,17.4,57.3,1.1288
3/24/2005,23:00:00,2.7,1385,-200,11.9,1045,449,496,159,1462,1572,17.0,56.6,1.0902
3/25/2005,0:00:00,2.0,1320,-200,9.3,950,316,542,135,1428,1426,16.2,66.3,1.2080
3/25/2005,1:00:00,1.5,1205,-200,6.3,828,239,622,128,1344,1170,15.3,73.3,1.2655
3/25/2005,2:00:00,1.0,1099,-200,4.0,709,165,727,109,1263,1000,15.2,73.3,1.2556
3/25/2005,3:00:00,1.0,1106,-200,4.1,715,152,714,101,1279,949,13.9,80.4,1.2694
3/25/2005,4:00:00,0.9,1099,-200,4.1,718,144,714,96,1300,905,13.6,82.8,1.2817
3/25/2005,5:00:00,0.8,1042,-200,3.3,671,126,754,87,1255,845,13.7,82.0,1.2770
3/25/2005,6:00:00,0.6,980,-200,2.5,621,132,858,81,1190,692,13.7,78.0,1.2174
3/25/2005,7:00:00,1.0,1138,-200,5.4,782,228,705,100,1321,926,14.1,75.5,1.2065
3/25/2005,8:00:00,3.2,1517,-200,17.4,1222,580,437,146,1750,1470,14.8,73.6,1.2331
3/25/2005,9:00:00,4.3,1537,-200,22.9,1374,564,384,158,1941,1660,16.0,67.8,1.2276
3/25/2005,10:00:00,2.7,1296,-200,11.1,1017,369,526,136,1494,1360,18.4,59.2,1.2398
3/25/2005,11:00:00,1.6,1255,-200,9.5,958,260,579,117,1420,1215,20.4,50.5,1.1954
3/25/2005,12:00:00,1.4,1367,-200,13.6,1105,371,503,140,1578,1391,21.3,46.6,1.1628
3/25/2005,13:00:00,2.3,1473,-200,17.0,1210,513,462,169,1686,1521,20.4,49.8,1.1765
3/25/2005,14:00:00,2.1,1422,-200,15.8,1175,471,474,163,1647,1483,21.1,47.8,1.1813
3/25/2005,15:00:00,1.4,1378,-200,14.3,1125,378,502,144,1601,1380,21.5,47.8,1.2060
3/25/2005,16:00:00,3.4,1446,-200,17.5,1224,445,471,153,1706,1450,21.7,47.4,1.2184
3/25/2005,17:00:00,3.8,1473,-200,17.8,1235,483,468,164,1702,1519,21.0,49.8,1.2208
3/25/2005,18:00:00,4.9,1619,-200,24.3,1411,530,417,174,1908,1684,20.4,51.9,1.2261
3/25/2005,19:00:00,5.7,1673,-200,27.2,1484,649,397,196,2008,1812,19.4,56.3,1.2500
3/25/2005,20:00:00,5.5,1605,-200,23.7,1397,604,420,189,1891,1710,18.8,58.3,1.2514
3/25/2005,21:00:00,3.9,1460,-200,16.7,1201,486,466,155,1685,1591,18.2,61.0,1.2634
3/25/2005,22:00:00,3.1,1407,-200,14.0,1117,402,486,137,1596,1521,17.7,63.3,1.2729
3/25/2005,23:00:00,2.0,1286,-200,10.1,982,268,550,117,1458,1353,17.7,63.5,1.2700
3/26/2005,0:00:00,2.5,1372,-200,12.1,1054,350,504,128,1534,1463,17.1,66.9,1.2926
3/26/2005,1:00:00,2.2,1312,-200,10.5,995,312,527,124,1488,1447,16.8,69.0,1.3135
3/26/2005,2:00:00,1.5,1205,-200,7.2,867,243,601,108,1361,1294,16.6,70.0,1.3078
3/26/2005,3:00:00,1.2,1167,-200,6.4,829,202,622,89,1360,1172,16.1,71.3,1.2955
3/26/2005,4:00:00,-200.0,1122,-200,6.0,811,181,641,92,1336,1122,16.2,71.2,1.3013
3/26/2005,5:00:00,0.8,1126,-200,5.3,779,139,663,84,1309,1103,16.3,69.8,1.2853
3/26/2005,6:00:00,0.1,1121,-200,4.9,757,156,672,83,1293,1113,16.1,70.0,1.2739
3/26/2005,7:00:00,1.1,1135,-200,5.7,797,175,651,80,1325,1109,16.1,69.5,1.2623
3/26/2005,8:00:00,1.7,1248,-200,9.0,939,281,565,93,1458,1229,16.5,68.1,1.2653
3/26/2005,9:00:00,2.1,1325,-200,10.9,1010,322,513,106,1522,1404,17.4,65.0,1.2775
3/26/2005,10:00:00,2.3,1347,-200,10.6,1000,369,510,115,1490,1450,18.4,60.2,1.2623
3/26/2005,11:00:00,2.1,1317,-200,9.3,952,366,541,124,1443,1393,19.1,57.5,1.2569
3/26/2005,12:00:00,1.9,1243,-200,8.3,912,301,579,113,1406,1227,21.2,48.4,1.2028
3/26/2005,13:00:00,1.7,1169,-200,6.6,841,232,623,104,1361,1040,22.3,43.9,1.1695
3/26/2005,14:00:00,1.3,1085,-200,5.1,769,156,711,85,1264,820,23.7,39.4,1.1366
3/26/2005,15:00:00,1.3,1177,-200,7.9,896,169,616,94,1374,1011,23.1,41.2,1.1523
3/26/2005,16:00:00,1.6,1207,-200,7.7,888,203,611,99,1382,1042,25.7,35.7,1.1626
3/26/2005,17:00:00,2.2,1269,-200,10.7,1005,260,553,112,1463,1136,24.3,38.4,1.1503
3/26/2005,18:00:00,2.3,1205,-200,10.5,996,289,559,122,1456,1101,21.9,45.1,1.1687
3/26/2005,19:00:00,2.2,1218,-200,10.9,1009,273,553,119,1486,1108,19.7,51.8,1.1779
3/26/2005,20:00:00,2.0,1183,-200,8.4,914,263,604,119,1387,1078,18.7,54.5,1.1644
3/26/2005,21:00:00,2.3,1242,-200,10.0,978,295,564,127,1449,1210,17.8,58.1,1.1742
3/26/2005,22:00:00,2.2,1263,-200,10.3,990,303,553,126,1465,1270,17.3,60.8,1.1885
3/26/2005,23:00:00,1.6,1139,-200,7.2,865,209,625,111,1362,1119,16.5,63.8,1.1873
3/27/2005,0:00:00,1.6,1166,-200,6.4,829,200,632,102,1338,1133,16.3,65.2,1.1982
3/27/2005,1:00:00,1.3,1079,-200,4.3,727,174,724,93,1275,1010,16.5,63.8,1.1896
3/27/2005,2:00:00,1.0,1008,-200,3.3,669,115,791,78,1241,894,16.6,63.0,1.1784
3/27/2005,3:00:00,1.0,1034,-200,3.9,707,122,740,74,1267,930,16.2,64.3,1.1729
3/27/2005,4:00:00,1.0,1001,-200,3.4,675,105,778,68,1260,861,15.9,65.1,1.1654
